不能回原点报错,2001,4
回原点超时报错,2002,4
不能开始报错,2003,2
不能停止报错,2004,2
不能暂停报错,2005,2
不能继续报错,2006,2
急停报错,2061,4
安全门1打开中,2062,3
安全门2打开中,2063,3
安全门3打开中,2064,3
安全门4打开中,2065,3
ALC断开连接,2070,4
相机断开连接,2071,4
左产品到输送线报错,2300,3
右产品到输送线报错,2301,3
上料区定位产品报错,2302,3
上料区松开产品报错,2303,3
上料X轴运动到工作位报错,2304,3
上料X轴运动到等待位报错,2305,3
机械手取料报错,2306,3
检测产品状态报错,2307,3
中转取料报错,2308,3
中转放料报错,2309,3
下料区定位产品报错,2310,3
下料区松开产品报错,2311,3
左产品到输送线报错,2400,4
右产品到输送线报错,2401,4
上料区定位产品报错,2402,4
上料区松开产品报错,2403,4
上料X轴运动到工作位报错,2404,4
上料X轴运动到等待位报错,2405,4
机械手取料报错,2406,4
检测产品状态报错,2407,4
中转取料报错,2408,4
中转放料报错,2409,4
下料区定位产品报错,2410,4
下料区松开产品报错,2411,4
Cavity1无产品,2801,2
Cavity2无产品,2802,2
左中转取料失败,2803,3
右中转取料失败,2804,3
上料X轴急停,2100,4
上料X轴左限位报错,2102,4
上料X轴右限位报错,2103,4
上料X轴找不到原点,2104,4
上料X轴回原点失败,2105,4
上料X轴绝对运行报错,2106,4
上料X轴手动运行报错,2107,4
上料X轴,2108,4
上料X轴相对运行报错,2109,4
上料X轴设置位置报错,2110,4
上料X轴停止错误,2111,4
上料X轴速度运行报错,2112,4
上料X轴使能报错,2113,4
上料X轴复位报错,2114,4
上料X轴状态异常,2115,4
下料X轴急停,2120,4
下料X轴左限位报错,2122,4
下料X轴右限位报错,2123,4
下料X轴找不到原点,2124,4
下料X轴回原点失败,2125,4
下料X轴绝对运行报错,2126,4
下料X轴手动运行报错,2127,4
下料X轴,2128,4
下料X轴相对运行报错,2129,4
下料X轴设置位置报错,2130,4
下料X轴停止错误,2131,4
下料X轴速度运行报错,2132,4
下料X轴使能报错,2133,4
下料X轴复位报错,2134,4
下料X轴状态异常,2135,4
上料左真空吸报错,2140,3
上料左真空破报错,2141,3
上料右真空吸报错,2150,3
上料右真空破报错,2151,3
下料定位气缸伸报错,2160,3
下料定位气缸缩报错,2161,3
下料左真空吸报错,2170,3
下料左真空破报错,2171,3
下料右真空吸报错,2180,3
下料右真空破报错,2181,3
中转气缸伸报错,2190,3
中转气缸缩报错,2191,3
取料气缸伸报错,2200,3
取料气缸缩报错,2201,3
取料左真空吸报错,2210,3
取料左真空破报错,2211,3
取料右真空吸报错,2220,3
取料右真空破报错,2221,3
中转左真空吸报错,2230,3
中转左真空破报错,2231,3
Load_O_Axis E_Stop!!!,2240,4
Load_O_Axis PLimit Switch Error,2242,4
Load_O_Axis NLimit Switch Error,2243,4
Load_O_Axis Origin sensor cannot be searched,2244,4
Load_O_Axis Go Home Failed,2245,4
Load_O_Axis Absolute Move Error,2246,4
Load_O_Axis JOG Move Error,2247,4
Load_O_Axis Modulo Move Error,2248,4
Load_O_Axis Relative Move Error,2249,4
Load_O_Axis Set Position Error,2250,4
Load_O_Axis Axis Stop Error,2251,4
Load_O_Axis Velocity Move Error,2252,4
Load_O_Axis mcPower Error,2253,4
Load_O_Axis mcReset Error,2254,4
Load_O_Axis axis_Status_Error,2255,4
上料定位气缸伸报错,2260,3
上料定位气缸缩报错,2261,3
中转右真空吸报错,2270,3
中转右真空破报错,2271,3
左上料区吸料异常,2080,3
右上料区吸料异常,2081,3
左中转区取料异常,2082,3
右中转区取料异常,2083,3
左下料区吸料异常,2084,3
右下料区吸料异常,2085,3
左机械手取料异常,2086,3
右机械手取料异常,2087,3
产品记忆错误,2088,3
